movieId,title,era,genres,tag,story,runtime,director,season
1,Toy Story,B,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[-0.80688363  0.34333864 -1.634787    0.8277792  -0.27964666 -0.12081109
 -1.514381   -1.628084    0.9364897   0.4809328  -0.8839594   0.07853406
  0.05975996  1.1279634  -1.8303709  -0.45294562 -0.75133044  0.7438556
  0.7453085   1.0204895 ]","[-0.02615408 -0.02989563 -0.04940377  0.04276423  0.01783058  0.00131516
 -0.04940314 -0.02583324 -0.04858981  0.0100539   0.01415156  0.02321778
 -0.02148638 -0.01572853 -0.01539394 -0.04360958  0.01086242  0.04612811
 -0.04750933 -0.01729043]",0.9836537922267876,Christopher Nolan,Win
2,Jumanji,B,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[-1.062782    1.2268646  -1.6137172  -0.9008756  -1.4427873   0.46187583
  0.5389278  -2.2115884   0.85760975 -1.0260938  -0.34972203  0.70198405
 -1.9948193   1.4284915  -0.32348993 -0.32855916 -1.1276978  -3.0747054
 -1.3684504   0.8058378 ]","[-0.01884955  0.01303691 -0.02845779  0.0131034   0.02901261 -0.0405343
 -0.04164895 -0.04977335  0.02466523 -0.04561154  0.02920982  0.03400131
 -0.032532   -0.0225994  -0.00627431  0.0082316  -0.00740669 -0.04271271
 -0.01801307  0.00865813]",0.3952332685277783,Christopher Nolan,Spr
3,Grumpier Old Men,B,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[-0.87365466  0.5569652   0.14252552 -0.95293754 -0.03315031  0.3856715
 -0.1265338  -1.3613095   1.6681246  -0.58290714 -0.9089788  -0.31093603
 -1.2695204   0.1353677  -0.37459353  0.93665946 -0.5417572  -0.59584177
 -0.18215916  2.4222376 ]","[-0.0102846  -0.03615021  0.020923   -0.0428717   0.01355768 -0.0230686
  0.00322714 -0.01028674  0.02706614 -0.04001286 -0.01059926 -0.00047908
 -0.03319389 -0.03263082 -0.00966479  0.04401737 -0.00631585  0.0176799
 -0.02875156  0.04407407]",0.3334870377647977,Christopher Nolan,Spr
5,Father of the Bride Part II,B,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[ 0.32481757  0.42620605  0.6798344   0.19301698  0.35547167  1.3457036
  0.41272572 -1.0374076   0.66812724  1.3741491  -2.2961035   0.77810377
 -0.47308102  0.46729666  0.00765013 -0.7101848  -0.898329   -1.3914993
  0.34381804  0.50206107]","[ 0.01457734  0.04639842  0.02174928 -0.02099785  0.01120953 -0.02206228
  0.0288847   0.00915762 -0.0113938  -0.02940559 -0.04013542 -0.00426536
 -0.04469682 -0.04611817 -0.03969955  0.01084537 -0.0325047  -0.03894172
  0.01065584  0.01026331]",0.8213067485243459,Christopher Nolan,Aut
7,Sabrina,B,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[-0.04015052  0.76239765  0.11476712  0.04561204  0.34860432  1.4347221
 -0.07034103 -1.1578962   0.71166044  0.6244636  -1.4040002   0.7895441
 -0.4705553   0.50770783 -0.07112357 -0.33694592 -0.57719195 -1.3374416
  0.19400911  0.13322145]","[ 0.04174178  0.02333958 -0.04705052 -0.0016939   0.03927014  0.01335738
  0.01340182 -0.02441856  0.03233586  0.00824407 -0.03801072  0.03431986
 -0.04884699 -0.04079297 -0.02437082  0.04968839  0.01556546 -0.01006019
  0.04447585  0.01175628]",0.5744402569502934,Christopher Nolan,Aut
11,"American President, The",B,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[-0.05730427  1.3462692  -0.28356352  1.2085097  -0.67439103  0.6305264
  0.32823017 -1.1961734   0.52798045 -0.22439452 -0.00565142 -1.2457843
 -0.12372588  1.6591245   0.2358456  -1.4047592  -1.1044667  -0.05675213
 -0.06588127  0.7219712 ]","[-0.02780184 -0.01590267 -0.02985429  0.01870843 -0.03412119 -0.01005391
 -0.00567298  0.03651055  0.03337137  0.01708106 -0.0005702  -0.02345206
 -0.00987275 -0.02698652  0.04449206 -0.04292586 -0.04986607 -0.00384133
  0.01829585  0.04048337]",0.200551633428913,Christopher Nolan,Aut
14,Nixon,B,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[ 0.03143562  1.3262165  -0.29608864  1.243234   -0.66423607  0.6406806
  0.37589303 -1.2279438   0.49269748 -0.25061926 -0.02835562 -1.2999696
 -0.02019442  1.6415964   0.2218842  -1.3703666  -1.091103   -0.01388742
 -0.10903408  0.7395559 ]","[ 0.04448897  0.03123408 -0.0311918   0.04332616 -0.04714523  0.00354627
 -0.03311623 -0.00400006  0.01320282 -0.03846953  0.01979431  0.00713791
 -0.0026855   0.03109216 -0.02189003 -0.00836611  0.00515292  0.0145299
 -0.04369437 -0.02545144]",0.2572293813114953,Christopher Nolan,Sum
16,Casino,B,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-0.18804716  0.27294603 -0.7019499   1.2511102   0.6982308  -0.5364419
  0.17750868 -1.303512    0.73144245  0.5250071  -0.8500779   0.39560097
 -0.13126473  1.2842942  -0.8093651   0.00512127  0.05545886 -1.3085392
  0.4009921   0.16785128]","[ 0.03029117  0.8079158  -0.30539176 -0.06146368  0.11197669  0.10890943
  0.5357258  -0.6376338   0.6845545   0.45472643  0.05796865  0.72789407
  0.10905748  0.45409992 -0.9311089   0.38465488 -0.03663244 -0.5234737
  0.61022687  0.06037619]",0.5550320537788239,Christopher Nolan,Spr
17,Sense and Sensibility,B,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[-0.6440168   0.35760918 -0.18406646 -0.48643985 -0.7609862   0.1525124
 -0.5447035   0.04988123  0.6545812   1.5863843  -0.44184154 -0.8335497
  0.0843439   2.5315657   0.88414353  0.66746217 -1.2179073  -0.5678595
 -0.44908744  1.5276101 ]","[ 0.04199439  0.02724807  0.04364275 -0.01577401  0.01155425 -0.03426721
 -0.02966665 -0.029574   -0.04163734 -0.01105465  0.01772757 -0.00816271
  0.01496414  0.0254044   0.03727128  0.01270869  0.03957072 -0.01992163
 -0.0238897  -0.00586605]",0.6982713315477642,Christopher Nolan,Spr
21,Get Shorty,B,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[ 0.5338979   0.13939567 -0.222833   -0.43688494 -0.53526616  0.8817071
 -0.535169   -0.9675063   1.5244188   1.0534713  -1.4333284   0.39707816
 -0.91964334  0.49659514 -0.59112656 -0.13757107 -0.20682178 -0.3827595
 -0.0225396   0.4631634 ]","[ 0.02941566  0.02373058 -0.04145117 -0.01468662 -0.04022399  0.04358911
 -0.00993511 -0.00045205  0.04306882  0.00907556 -0.03714206  0.03381338
  0.023557    0.03966008 -0.01953694  0.02204424  0.02428755 -0.0203156
  0.01076146  0.02660559]",0.08935209971479499,Christopher Nolan,Aut
